Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants
FEATURE: add tools for merging of maps,P3 cla: yes package=collect type=addition,,,"hosuaby: The present PR adds methods for merging of maps.
Merging of maps is an operation that combines content of two or more maps into a new map while handles entries with duplicate key. Example:
    Map<String, Set<String>> tags1 = ImmutableMap.of(
            ""guava"", newHashSet(""java"", ""collections""),
            ""junit"", newHashSet(""tests""));
    Map<String, Set<String>> tags2 = ImmutableMap.of(
            ""spring"", newHashSet(""di"", ""boot""),
            ""junit"", newHashSet(""runner"", ""platform""));

    Map<String, Set<String>> merged = Maps.merge(tags1, tags2, Sets::union);

    // Result: {
    //    ""guava"": [""java"", ""collections""]
    //    ""spring"": [""di"", ""boot""]
    //    ""junit"": [""tests"", ""runner"", ""platform""]
    // }
The present PR add new methods to class Maps:

Map merge(firstMap, secondMap, mergeFunction) - merges two maps
Map mergeAll(mergeFunction, firstMap, Map... otherMaps) - merges multiple maps, using signature with varagrs
Map mergeAll(mergeFunction, Iterable maps) - merges multiple maps
Collector mergeCollector(Collector<V, ?, V> downstream) - creates a collector able to merge stream of maps

Real life use-case:
Assuming we have multiple data sources that returns data in form of maps. We would like to aggregate those data by merging those maps. Unit tests give us an example using measurements provided by different sources..jbduncan: @hosuaby I'm not a member of the Guava team or even a Googler, just so that you're aware, but have you considered merging your maps together like the following?
// If you're able to turn your Map<String, Set<String>>s into SetMultimap<String, String>s beforehand:
var merged = 
    ImmutableSetMultimap.builder()
        .putAll(multimapTags1)
        .putAll(multimapTags2)
        .build();

// Otherwise:
var merged =
    Stream.of(tags1, tags2)
        .flatMap(tags -> tags.entries().stream())
        .collect(toImmutableSetMultimap(Entry::getKey, Entry::getValue));.jbduncan: Oops, sorry, I didn't realise that one of my examples above prints the wrong value! Here's my updated code snippet:
// If you're able to turn your Map<String, Set<String>>s into SetMultimap<String, String>s beforehand:
var merged =
    ImmutableSetMultimap.builder()
        .putAll(multiTags1)
        .putAll(multiTags2)
        .build();

// Otherwise:
var merged =
    Stream.of(tags1, tags2)
        .flatMap(tags -> tags.entrySet().stream())
        .collect(flatteningToImmutableSetMultimap(Entry::getKey, entry -> entry.getValue().stream()));.hosuaby: Hello, @jbduncan
Thanks for review!
It's all the question of simplicity. In your example, the user must ""prepare"" the maps by converting them into SetMultimap beforehand. Feature provided by present PR doesn't have such requirements. All methods accept input maps ""as is"", mutable or immutable.
The second point, in your example, We are looking to merge maps of Map<K, Set<V>> or Map<K, List<V>>. Methods in the present PR are able to merge values of any compatible types. It unit tests, I merge maps of Map<String, ? extend Number>.
But, thank you for your suggestion of MultiMaps. I refactored implementation of methods using ImmutableListMultiMap and it became much shorter.
If you have, any questions, suggestions, objections do not hesitate to comment. I try my best to make those tools the most generic and convenient to as much use-cases as possible..jbduncan: @hosuaby Okay, thanks for explaining!
If or when the Guava team get around to reviewing this, the first thing that they'll probably say is they'll need to internally discuss the API first, as mentioned in the contribution docs and the project philosophy. And even then there's no guarantee it will end up in Guava, because they may think that existing APIs, like in my example above, are good enough.
Just so that you're warned. :).ogregoire: The biggest question would come from the resolution of conflicts. You are conveniently speaking about Map<X, Set<Y>> which has a rather trivial resolution, but what about any Map<X, Collection<Y>>. Do you want one entry, several entries?
I believe that you'd be best using Maps::difference. Ok, it's just a bit of work compared to a simple helper method, but it'll get your work done rather easily..hosuaby: @ogregoire That's what mergeFunction made for. We can specify which collection we want (in case, we merge Map<X, Collection<Y>>:
  public void testGithub() {
    Map<String, Collection<String>> tags1 = ImmutableMap.of(
            ""guava"", newHashSet(""java"", ""collections""));

    Map<String, Collection<String>> tags2 = ImmutableMap.of(
            ""guava"", newHashSet(""optionals"", ""java"", ""library""));

    Map<String, Collection<String>> asSet = Maps.merge(tags1, tags2, (c1, c2) -> newHashSet(Iterables.concat(c1, c2)));
    assertThat(asSet.get(""guava"")).hasSize(4);
    assertThat(asSet.get(""guava"")).containsExactly(""java"", ""collections"", ""optionals"", ""library"");

    Map<String, Collection<String>> asList = Maps.merge(tags1, tags2, (c1, c2) -> newArrayList(Iterables.concat(c1, c2)));
    assertThat(asList.get(""guava"")).hasSize(5);
    assertThat(asList.get(""guava"")).containsExactly(""java"", ""collections"", ""optionals"", ""java"", ""library"");
  }",2020-09-13T12:25:56Z,None,1,0,4
Added support to use mark/reset for ByteArrayDataInput,P4 cla: yes package=io type=enhancement,,,xxDark: #3979,2020-08-03T10:57:05Z,None,2,3,2
Add other useless files & folders to .gitignore,P3 cla: yes type=other,,,"FanJups: 1) Maven

mvnw
mvnw.cmd
.mvn/

2) Netbeans

/nbproject/private/
/nbbuild/
/dist/
/nbdist/
/.nb-gradle/
build/

3) VS Code

.vscode/",2020-07-11T10:47:14Z,None,4,0,3
Add Micrometer's Lower Dot Notation to CaseFormat,P4 cla: yes package=base type=addition,,,"jastka4: Fixes #3929.googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..jastka4: @googlebot I signed it!.googlebot: CLAs look good, thanks!
ℹ️ Googlers: Go here for more info.",2020-07-10T22:37:37Z,None,1,0,3
Add tests to guarantee no need copyOf map,P4 cla: yes package=collect type=enhancement,,,"samukce: I added tests to guarantee that unnecessary maps are not created given some possibles performance issues mentioned here #3467. Though I was not able to create a test scenario to simulate the issue. So, opening this PR to have at least some explicit tests narrowing this behavior..googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..googlebot: CLAs look good, thanks!
ℹ️ Googlers: Go here for more info.",2020-06-20T04:22:50Z,None,1,0,3
issue#3781 add ImmutableMap collector for Stream of Map.Entry,P3 cla: yes package=collect platform=java8 type=addition,,,"xiantang: Hi, I hope this issue still makes sense. I wanted to attempt to add the toImmutableMap() method to the ImmutableMap to fix #3781.",2020-05-09T12:55:39Z,None,2,0,3
Issue #3742 Changing the axesSizeProduct entries to Integer.MAX_VALUE instead of throwing exception,P3 cla: yes package=collect type=enhancement,,,"HelenaGregg: #3742 said that they would like to be able to create a Sets::cartesianProduct object that would have more than 2^31-1 elements in the resulting set. Currently, it throws an IllegalArgumentException when this happens. @Meijuh said that since ""java.util.Set::size() specifies that if the size would be more than Integer.MAX_VALUE it would simply be Integer.MAX_VALUE"" this should be fixed.
So the code change is that instead of throwing an exception, the remaining lower parts of the axesSizeProduct integer array are set to Integer.MAX_VALUE so the size function (which returns axesSizeProduct[0]) will now return Integer.MAX_VALUE..lowasser: Several other methods are defined in terms of axesSizeProduct and make assumptions about how it works, so please add tests for them; I suspect that several of them are broken in the current version.
In particular, iterator and contains.  (Further thinking about this brought up #3873 and #3874 .)
In particular:

I'm not sure List.indexOf is well-defined for a list of size greater than Integer.MAX_VALUE, so we'd have to make a decision what to do there.  I prefer throwing IndexOutOfBoundsException, if only because Objects.equal(list.get(list.indexOf(o)), o) should always be true if index is not -1, and list.indexOf(o) >= 0 should be as equivalent as possible to list.contains(o).  (Note that this change also affects Lists.cartesianProduct, so indexOf is a method that needs to be supported.
The iterator needs to return the next element after you've called next Integer.MAX_VALUE times.  Unfortunately, I'm not sure that can be tested without being very slow, and I don't know how to solve that.
contains definitely needs to be tested, including on elements whose ""index"" would be greater than Integer.MAX_VALUE.  That probably means it needs a new implementation separate from indexOf, which would ideally also address #3873.",2020-04-22T01:05:41Z,None,6,3,4
Filter out java.lang.Object from checked types and fallback to getMethods() if getDeclaredMethods() causes SecurityException.,P4 cla: yes package=eventbus status=triaged type=performance,DevenWen,,"vrozov: fixes #3858 and #3859.ljacqu: Just as a viewer passing by�?Conceptually: if you fall back to getMethods it's a little excessive to call it for every supertype since you get all parent methods immediately. Might be worth checking first whether you can call getDeclaredMethods and if not to use clazz.getMethods as your sole source of methods.
Stylistically: I find the two streams within each other to be really awkward. The previous version with regular loops was much more clear IMHO. Streams work out nicely when you have a small filter-and-transform thing going on but nesting them makes it difficult to remember where one is located.
I also find it awkward that the Set identifiers is just used for a uniqueness check (filter on L205) vs. how the map was used to determine the results in the end. Also just for reference the filter call on L192 that always returns true could be turned into a peek..vrozov: Any plan to pull this into a release?",2020-04-10T20:33:35Z,None,2,1,6
Make `Iterators.peekingIterator()` reuse `AbstractIterator.peek()`,P3 cla: yes,vztot,,"cky: Currently, Iterators.peekingIterator() will treat AbstractIterator just like any other iterator, and will call next() to get the element, which it then stashes. This is wasteful, since AbstractIterator already provides a peek() method that is designed to be compatible with the PeekingIterator interface, so use it instead.
AbstractIterator subclasses UnmodifiableIterator, so we can do likewise with the PeekingIterator forwarder. The resulting forwarder is much more lightweight than the default Iterators.peekingIterator() implementation.",2020-04-07T00:33:20Z,None,1,2,4
"Issue #2617 add lastIndexOf(byte[] array, byte[] target)",P3 cla: yes package=primitives type=addition,"szarnekow,Maaartinus,xindoo",,"fdesu: Hi, I hope this issue still makes sense. I wanted to attempt to add the lastIndexOf method to the Primitive's utility classes to fix #2617.
To try it out I've started with simple implementation of Bytes#lastIndexOf to gather initial feedback. I want to implement lastIndexOf for other classes in the same manner. Do you think it is ok or I need to consider any other approach/put some annotations/etc. ?",2020-01-28T16:14:26Z,None,1,2,6
Add implementation for Suppliers#memoizeWithRefresh,P3 cla: yes package=cache type=addition,,,"StephenFlavin: In response to #872 (comment) I'd like to submit this PR for discussion.
I began looking into this when trying to find a way to make my apps existing LoadingCache<K, V> populate itself with all of the possible keys and values it could from my database table, in my use case the input data is dynamic and contains keys which may or may not have a value in the database however, the database table is quite small and could easily be completely stored in memory and refreshed at a set interval, this will reduce the number of calls my app needs to make to the database exponentially(>10k requests per minute to 1 request per 15 minutes).
While searching I came across this issue #775 which is exactly the same problem I am trying to solve but I fear there was some confusion in the reasons why and the use case.
I would prefer if there was an implementation of LoadingCache that had these semantics but for now I thought a smaller change would be to add an extra implementation to memoized suppliers.
I am aware that the tests here are less than idea, I just followed the convention from the tests of the expiring memoizer which uses Thread.sleep.
There is a good chance I've missed something which exists that does exactly what I require so if you know if it please tell me 😄",2020-01-22T09:01:21Z,None,1,0,3
Do not allow warmupPeriod set as zero,P3 cla: yes package=concurrent status=triaged type=enhancement,cpovirk,,"liufuyang: In order to solve issues like #2730
We encountered this ""crazy"" issue in production that when setting warmupPeriod=0, the ratelimiter changed the rate from 1 per second to millions (if not billions) per second.
Or simply see this issue by running following code as a test:
  @Test
  public void t() {
    RateLimiter rateLimiter = RateLimiter.create(1, 0, TimeUnit.SECONDS);

    while (true) {
      rateLimiter.acquire();
      System.out.println(""Done"");
    }
  }

When setting warmupPeriod=0 will trigger some downstream slope calculation with some value divide 0:  https://github.com/google/guava/blob/master/guava/src/com/google/common/util/concurrent/SmoothRateLimiter.java#L229.liufuyang: @cpovirk Perhaps you can give a review of this?.liufuyang: @cgdecker Perhaps you can take a look as well? :).liufuyang: @ronshapiro @kluever Pinging you two here as I saw you changed this ratelimiter recently 😄",2019-11-28T16:29:24Z,None,1,4,3
Add Duration and Supplier<Duration> overloads for Supplier#memoizeWithExpiration,P3 cla: yes package=base type=addition,,,"mfboulos: Directly addresses #3688
I don't want to step on any toes since I saw that long, TimeUnit overloads are in the cards for several classes, but I also see the use in a Duration supplier, so I went and wrote this up real quick so we can at least have it in the works.
One thing I noticed while writing this is that com.google.common.util.concurrent.Internal#toNanosSaturated is package-scoped internal, but the only method in there is applicable to all legacy API's that require a long, TimeUnit, and there are several scattered in base, cache, and collect under com.google.common. It might be worth considering gauging the need for it to public-scoped, if at some point the human race figures out how to prolong life indefinitely.
Also first contribution here, hope all looks good :).googlebot: Thanks for your pull request. It looks like this may be your first contribution to a Google open source project (if not, look below for help). Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA).
📝 Please visit https://cla.developers.google.com/ to sign.
Once you've signed (or fixed any issues), please reply here with @googlebot I signed it! and we'll verify it.

What to do if you already signed the CLA
Individual signers

It's possible we don't have your GitHub username or you're using a different email address on your commit. Check your existing CLA data and verify that your email is set on your git commits.

Corporate signers

Your company has a Point of Contact who decides which employees are authorized to participate. Ask your POC to be added to the group of authorized contributors. If you don't know who your Point of Contact is, direct the Google project maintainer to go/cla#troubleshoot (Public version).
The email used to register you as an authorized contributor must be the email used for the Git commit. Check your existing CLA data and verify that your email is set on your git commits.
The email used to register you as an authorized contributor must also be attached to your GitHub account.

ℹ️ Googlers: Go here for more info..mfboulos: @googlebot I signed it!.googlebot: CLAs look good, thanks!
ℹ️ Googlers: Go here for more info..jbduncan: Hi @mfboulos, welcome to Guava. :)
I think it's worth mentioning that it's unlikely this PR will be merged, because the Guava team prefer to do API reviews internally (which is apparently the hard part) and then write the code themselves to match whatever API they've agreed on.
See the contribution guidelines for more information..jbduncan: That being said, I'm sure that this code would be a great start for @chriskilding's needs, who opened #3688, if you're happy for them to take the code as-is. :).kluever: It might be worth considering gauging the need for it to public-scoped

FWIW, we have a copy of this in our (still internal) com.google.common.time package, which we hope to get around to releasing at some point..mfboulos: Understandable! My intuition was to put this PR in there just to have the code handy for you guys, but I understand there's more discussion behind it since it's essentially an extension to the existing API.",2019-11-08T05:12:29Z,None,1,0,4
