Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Cloners),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (Required),Outward issue link (Required),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Patch Info),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Tags),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
service-call : service-call expression should have a way to manipulate headers,CAMEL-11795,13103593,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,lb,lb,lb,2017/9/20 12:48,2019/8/6 12:03,2021/3/6 6:31,,,,,,,3.x,,camel-core,,,,,,,0,service-call,,,,,"From apache-camel:

{code}
<lburgazzoli> davsclaus, I'm looking at CAMEL-11711 (Camel-example-spring-cloud-servicecall doesn't work out of the box)
<lburgazzoli> the issue is that
<lburgazzoli> there are some headers  like CamelHttpPath now
<lburgazzoli> so i.e. undertow builds the effective url to incoke combining the http uri you give it with info from the headers
<lburgazzoli> so the final call is not more like http://localhost:9012 but it is http://localhost:9012/camel/serviceCall/service1
<lburgazzoli> which does not exists
<lburgazzoli> see this gist https://gist.github.com/lburgazzoli/1a44497db3cb29d2370ee2d125bb741c
<davsclaus> ah yeah you need to remove the CamelHttp* headers
<davsclaus> i guess maybe camel-undertow has been ""fixed"" since that example was created
<davsclaus> if you use something else like jetty it may have had that ""problem"" from the beginning
<davsclaus> i guess maybe service call eip should disregard those headers or something? unless you use those expression stuff etc
<davsclaus> where the expression evaluated the url of the service etc
{camel}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,55:16.8,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Fri Nov 16 09:55:16 UTC 2018,,,,,,,,0|i3kao7:,9.22337E+18,,,,,,,,,,,,,,,16/Nov/18 09:55;acosentino;What's the status on this one [~lb],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster service : review spring boot configuration order,CAMEL-11818,13104530,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,lb,lb,lb,2017/9/23 15:38,2019/8/6 12:04,2021/3/6 6:31,,2.20.0,,,,,3.x,,camel-spring-boot,camel-spring-boot-starters,,,,,,0,clustering,,,,,As today cluster services are configured before the camel context starts but some implementation may require the camel context to be there already so we should investigate if we can use afterPropertiesSet or something similar to bind the service to the context.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,54:43.6,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Fri Nov 16 09:54:43 UTC 2018,,,,,,,,0|i3kgfz:,9.22337E+18,,,,,,,,,,,,,,,16/Nov/18 09:54;acosentino;What's the status here [~lb],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
provide automated tests for Camel examples,CAMEL-11834,13104685,,Task,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,apupier,apupier,2017/9/25 8:25,2019/9/20 21:27,2021/3/6 6:31,,2.19.3,,,,,Future,,examples,,,,,,,0,,,,,,"currently someone need to check manually that everything is fine.
",,"nisiviglia commented on pull request #3181: CAMEL-11834: camel-example-spring-boot-rest-jpa
URL: https://github.com/apache/camel/pull/3181
 
 
   Fixed IntelliJ project file generation.
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;20/Sep/19 19:40;githubbot;600","oscerd commented on pull request #3181: CAMEL-11834: camel-example-spring-boot-rest-jpa
URL: https://github.com/apache/camel/pull/3181
 
 
   
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;20/Sep/19 21:27;githubbot;600",,,,,,,,0,1200,,,0,1200,,,,,,,,CAMEL-11294,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,04:44.7,,,FALSE,,,,,Novice,,,,,,,,,,,,,,,,,9.22337E+18,,,Fri Sep 20 19:47:07 UTC 2019,,,,,,,,0|i3khe7:,9.22337E+18,,,,,,,,,,,,,,,06/Aug/19 12:04;davsclaus;Contributions is welcome,20/Sep/19 19:47;ncs88;Fixed camel-example-spring-boot-rest-jpa not generating idea project files. pull request found [here.|https://github.com/apache/camel/pull/3181],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xtokenize and apply xslt to a string does not work  with UTF-16BE,CAMEL-11846,13105112,,Bug,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,antidote2,antidote2,2017/9/26 14:49,2019/8/6 12:04,2021/3/6 6:31,,2.17.5,,,,,,,camel-core,,,,,,,0,,,,,,"In XML, encoding is often provided inside <?xml ..?> tag. In general, you cannot read the tag, if you don't know the encoding, but XML Parsers support the detection of several encodings which allows them to read the tag. With that information they can read the whole file without knowing the ""charset"" in first place.

xtokenize and xslt use XmlInputFactory#createXmlStreamReader(Reader). But by providing a reader Camel tells, that it knows the encoding, so it won't be detected by the XML parser.
Also Camel sets the charset to UTF-8 if it is not provided inside a header. This makes the underlying reader fail reading UTF-16.

Using XmlInputFactory#createXmlStreamReader(InputStream) inside XMLTokenExpressionIterator works (tried in a patch). But the next xslt steps fails again because it again uses a Reader.

See Stackoverflow Question for reference:
[https://stackoverflow.com/questions/46322376/apache-camel-to-handle-encoding-declared-in-xml-file]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/Nov/17 12:27;antidote2;UTF-16BE (with BOM).png;https://issues.apache.org/jira/secure/attachment/12896856/UTF-16BE+%28with+BOM%29.png,09/Nov/17 12:37;antidote2;my  example looks like this (and  it's really UTF-16BE).png;https://issues.apache.org/jira/secure/attachment/12896857/my++example+looks+like+this+%28and++it%27s+really+UTF-16BE%29.png,,,,2,,,,,,,,,,,,,,,,,,,,11:00.7,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Thu Nov 09 12:37:27 UTC 2017,,,,,,,,0|i3kk0v:,9.22337E+18,,,,,,,,,,,,,,,"03/Oct/17 11:11;vrlgohel;Hi Robert, 

Do you have any example or a reproducer application test case, by which you test this ? Since the changes would not involve a single file fix, it would be more helpful if you can attach a reproducer on how you are seeing the results. ","09/Nov/17 12:22;antidote2;Hi Viral,

I have a workaround first: I use BufferedInputStream wrapper, so I am able to reset it later (don't need to open the file twice). I give the InputStream  to XmlStreamReader, which gives me the encoding after reading XML file prolog. Then I set it for camel on the Exchange.CHARSET_NAME header:


{code:java}
EncodingUtil.DetectedEncodingStream detectedEncodingStream = EncodingUtil.detectEncoding(inputStream, new StaxConverter().getInputFactory());
            inputStream = detectedEncodingStream.inputStream;
            exchange.getIn().setHeader(Exchange.CHARSET_NAME, detectedEncodingStream.encoding);
{code}


{code:java}
public class EncodingUtil {

    public static class DetectedEncodingStream {
        public InputStream inputStream;
        public String encoding;

        public DetectedEncodingStream(InputStream inputStream, String encoding) {
            this.inputStream = inputStream;
            this.encoding = encoding;
        }
    }

    private static final int MAX_REWINDABLE_STREAM_BUFFER = 2*4196;

    public static final Logger LOGGER = LoggerFactory.getLogger(EncodingUtil.class);

    public static DetectedEncodingStream detectEncoding(InputStream inputStream, XMLInputFactory xmlInputFactory) {
        final BufferedInputStream bufferedInputStream = new BufferedInputStream(inputStream, MAX_REWINDABLE_STREAM_BUFFER);
        bufferedInputStream.mark(MAX_REWINDABLE_STREAM_BUFFER);
        String encoding;
        XMLStreamReader xmlStreamReader = null;
        try {
            xmlStreamReader = xmlInputFactory.createXMLStreamReader(bufferedInputStream);
        } catch (XMLStreamException e) {
            throw new RuntimeException(e);
        } finally {
            try {
                bufferedInputStream.reset();
            } catch (IOException e) {
                throw new RuntimeException(e);
            } finally {
                try {
                    xmlStreamReader.close();
                } catch (XMLStreamException e) {
                    throw new RuntimeException(""Failed to close XmlStreamRader"", e);
                }
            }
        }

        encoding = xmlStreamReader.getCharacterEncodingScheme();
        if (encoding == null) {
            encoding = StandardCharsets.UTF_8.name();
        }
        return new DetectedEncodingStream(bufferedInputStream, encoding);
    }
}
{code}
","09/Nov/17 12:32;antidote2;!UTF-16BE (with BOM).png!

Hmmm I am not able  to attach xml file here...

I think you can easily create a  test file by converting any UTF-8 XML to UTF-16BE with notepad++ for example.
","09/Nov/17 12:37;antidote2;!my  example looks like this (and  it's really UTF-16BE).png!

it cannot be parsed by Camel out of the box, because it would tell XmlStreamReader, it needs to use UTF-8 as encoding, so it will fail at first bytes, which are BOM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-olingo4 - avoid using olingo-server-core apis,CAMEL-11861,13105701,13105451,Sub-task,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,dmvolod,davsclaus,davsclaus,2017/9/28 8:58,2019/8/6 12:05,2021/3/6 6:31,,,,,,,,,camel-olingo4,,,,,,,0,,,,,,See parent ticket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,58:15.0,,,,,,,,0|i3knmf:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-reactive-streams: use the Flow interfaces in Java 9,CAMEL-11870,13106349,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,nferraro,nferraro,nferraro,2017/10/2 8:01,2018/2/1 15:11,2021/3/6 6:31,,,,,,,Future,,,,,,,,,0,,,,,,"We should use Java 9 flow interfaces for reactive-streams objects produced and consumed by camel-reactive-streams.
We can leverage the multi-release-jar feature to provide interfaces that extend from Java 9 Flow.xxx only when running on Java 9.

Some hints here: http://kto.so/2017/09/30/the-practical-truth-about-multi-release-jars/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,11:15.8,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Thu Feb 01 15:11:15 UTC 2018,,,,,,,,0|i3krlr:,9.22337E+18,,,,,,,,,,,,,,,"03/Oct/17 08:29;nferraro;PoC here: https://github.com/nicolaferraro/jdk9-reactive-streams

I'm also trying to include it in reactive-streams but it is does not solve all problems for library writers because it's asymmetric, so probably it won't be included there: https://github.com/reactive-streams/reactive-streams-jvm/issues/394",01/Feb/18 15:11;davsclaus;Maybe wait for this until JDK9 is the minimum version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OsgiServiceRegistry might use stale Services,CAMEL-11877,13106661,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,jbonofre,laeubi,laeubi,2017/10/3 10:08,2019/8/6 12:06,2021/3/6 6:31,,,,,,,Future,,osgi,,,,,,,0,,,,,,"OsgiServiceRegistry uses raw ServiceReferences to obtain a Servie Object. Once the Object is fetched it is cached and reused. THis can lead to the state, that cmael uses outdated services (e.g. the service get updated/replaced).
To prevent this, Camel should use ServiceTracker instead, this would make fetching services much more easier and roboust because ServiceTracker will handle all the dynamic parts and can simply be queried for a Service.

The ServiceTraker Objects itself can then be cached and simply closed onContextStop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,05:55.9,,,FALSE,,,,,Moderate,,,,,,,,,,,,,,,,,9.22337E+18,,,Tue Aug 06 12:05:55 UTC 2019,,,,,,,,0|i3kthz:,9.22337E+18,,,,,,,,,,,,,,,06/Aug/19 12:05;davsclaus;Contributions is welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueprintCamelContext should use Filter for serviceevents,CAMEL-11878,13106666,,Improvement,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,,,laeubi,laeubi,2017/10/3 10:33,2019/8/6 12:06,2021/3/6 6:31,,,,,,,Future,,camel-blueprint,,,,,,,0,,,,,,"Currently BlueprintCamelContext registers for all ServcieEvents in fact it is only interrested in a very specific event type (objectClass=org.osgi.service.blueprint.container.BlueprintContainer)
Beside geting and testing more vents as neccesary, since it also logs each event received if enabled Debug logging ALL Osgi-Service events are logged (which might be much in a larger OSGi-App) making reading the logs really hard.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,47:17.4,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Thu Feb 01 15:09:40 UTC 2018,,,,,,,,0|i3ktj3:,9.22337E+18,,,,,,,,,,,,,,,"03/Oct/17 11:47;davsclaus;You are welcome to provide a PR
http://camel.apache.org/contributing",01/Feb/18 15:07;davsclaus;Yeah not sure why logging all those event changes. I am bumping that to TRACE,"01/Feb/18 15:09;davsclaus;The OSGi filter is still missing, the code seems to just want events for its own bundle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isolation for unmarshallers,CAMEL-11928,13110912,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,zregvart,zregvart,zregvart,2017/10/20 8:26,2018/2/27 12:01,2021/3/6 6:31,,,,,,,Future,,camel-core,,,,,,,0,,,,,,"I propose that we try to experiment isolating points of interaction with externally specified data in the unmarshallers with the purpose of not allowing data passed in the marshaller to trigger code execution or similar security issue.
This could be a per Camel context property that we could add or a per route or unmarshaller setting that can be set. Along with this property another property white listing the allowed classes/packages to be loaded by the unmarshaller would be required.
I think this can be accomplished by loading and running the unmarshaller within a ClassLoader that consults this whitelist, but also whitelists classes and dependencies of the unmarshaller.
This is of course an experiment, and it could be well proven that such an implementation would be too complex or much to difficult to use. I would not like to duplicate any effort done by Java modules, OSGI or any other module system.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,26:01.0,,,,,,,,0|i3li7z:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automate update of online xsd on each release,CAMEL-11940,13111381,,Task,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,apupier,apupier,2017/10/23 11:44,2019/8/6 12:07,2021/3/6 6:31,,2.20.0,,,,,,,build system,,,,,,,0,,,,,,the online xsd http://camel.apache.org/schema/spring/camel-spring.xsd is currently updated manually and it has been forgotten to be updated at least 2 times in few months already. It would be better to have the process automated to avoid issues in the future,,,,,,,,,,,,,,,,,,,,,,,,CAMEL-11941,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,40:45.5,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Tue Jan 23 12:29:47 UTC 2018,,,,,,,,0|i3ll47:,9.22337E+18,,,,,,,,,,,,,,,"23/Oct/17 12:40;dmvolod;The current site camel.apache.org is hosting on the separate Wiki and not the part of the Camel git repository.
The new site will be placed inside git and will be much ease to implement this feature rather than automate update/upload to the foreign resource.","23/Oct/17 14:50;davsclaus;[~gzurowski] have you not updated those online XSD files in the past? If you know how to do that, you are welcome to copy the 2.20 XSD files as latest to the online web url.","23/Jan/18 12:29;onders;[~dmvolod]'s suggestion is good, i think, any other suggestion available for such automation?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work with java.lang.reflect.Type instead of java.lang.Class in unmarshallers,CAMEL-11990,13115902,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,zregvart,zregvart,zregvart,2017/11/3 12:02,2018/2/26 13:07,2021/3/6 6:31,,,,,,,Future,,camel-core,,,,,,,0,,,,,,"Currently unmarshallers work with {{java.lang.Class}} for view or type of object to be unmarshalled. Some frameworks work with {{java.lang.reflect.Type}} that helps with generics. We should add methods to parameterize unmarshallers supporting {{java.lang.reflect.Type}} as view or type of object to be unmarshalled.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,02:51.0,,,,,,,,0|i3mcy7:,9.22337E+18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add call options to the camel-grpc component,CAMEL-11994,13116183,,New Feature,Open,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,,,dmvolod,dmvolod,2017/11/4 17:42,2020/2/28 10:09,2021/3/6 6:31,,2.20.0,,,,,3.x,,camel-grpc,,,,,,,0,gsoc2020,,,,,"Add advanced call options related to the one operation and not overriding channel option:
- deadline
- compression
- etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,52:58.4,,,FALSE,,,,,Unknown,,,,,,,,,,,,,,,,,9.22337E+18,,,Fri Feb 28 10:09:25 UTC 2020,,,,,,,,0|i3meon:,9.22337E+18,,,,,,,,,,,,,,,16/Nov/18 09:52;acosentino;[~dmvolod] what's the status of this one?,"23/Feb/20 23:38;madhawak;Hi All, 

I'm hoping to work on this and CAMEL-12953 since both Jira issues are based on the same component (grpc). I started working with a solution to both issues. I will share my proposal and design soon. 

Thanks,
 Madhawa","28/Feb/20 10:09;zregvart;[~madhawak] are you considering this for the Google Summer of Code, and work on it as a student? If so, could you pop over to the developer mailing list ([subscribe first|https://camel.apache.org/community/mailing-list/]) and introduce yourself? We like to get to know the potential GSoC students and help them with their project proposals before they submit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
